Person,Product,crunchy,creamy,sweet,chocolaty,healthful,calorie,rich,addiction,accessible,handy,wrapping,image,commercial,,,,,,,,,,,
19,KinderBueno,5.00,5.00,5.00,4.00,1.00,5.00,1.00,3.00,3.00,3.00,5.00,5.00,2.00,,,,,,,,,,,
19,KinderRiegel,2.00,5.00,4.00,3.00,1.00,5.00,2.00,2.00,3.00,3.00,5.00,5.00,5.00,,,,,,,,,,,
19,KitKat,5.00,2.00,4.00,4.00,1.00,5.00,1.00,2.00,3.00,3.00,5.00,5.00,5.00,,,,,,,,,,,
19,Lion,5.00,3.00,5.00,4.00,1.00,5.00,2.00,2.00,3.00,3.00,4.00,2.00,2.00,,,,,,,,,,,
19,Mars,2.00,5.00,5.00,4.00,1.00,5.00,2.00,2.00,3.00,3.00,5.00,5.00,5.00,,,,,,,,,,,
19,Snickers,3.00,5.00,5.00,4.00,1.00,5.00,1.00,3.00,3.00,4.00,3.00,5.00,5.00,,,,,,,,,,,
19,Twix,5.00,5.00,4.00,4.00,1.00,5.00,1.00,3.00,3.00,4.00,5.00,5.00,2.00,,,,,,,,,,,
20,Balisto,5.00,1.00,4.00,5.00,3.00,2.00,3.00,2.00,3.00,3.00,3.41,2.00,4.00,,,,,,,,,,,
20,Bounty,2.00,2.00,5.00,5.00,3.00,3.00,3.00,4.00,4.00,4.00,5.00,3.00,2.00,,,,,,,,,,,
20,Duplo,3.00,2.00,4.00,4.00,2.00,4.00,2.00,4.00,4.00,4.00,4.00,5.00,5.00,,,,,,,,,,,
